abaixando	-1.0	0.7746	[0, -1, -1, -1, -1, 0, -3, -1, -1, -1]
abaixou	-0.5	1.11803	[-1, -1, -2, -1, -1, 2, -1, -1, 1, 0]
abalada	-0.3	0.9	[-1, -1, 1, -1, 1, 0, -1, 1, -1, -1]
abandona	-1.3	0.9	[-2, -1, -1, -2, -1, -2, -1, -2, 1, -2]
abandonado	-2.0	1.09545	[-1, -1, -3, -2, -1, -4, -1, -3, -3, -1]
abandonador	-1.9	0.83066	[-1, -1, -3, -2, -1, -3, -1, -2, -3, -2]
abandonados	-1.9	0.83066	[-2, -3, -2, -3, -2, -1, -2, -2, 0, -2]
abandonando	-1.6	0.8	[-3, -2, -3, -2, -1, -1, -1, -1, -1, -1]
abandono	-1.9	0.53852	[-1, -2, -2, -2, -2, -3, -2, -2, -1, -2]
abatido	-2.2	0.74833	[-2, -1, -2, -3, -2, -2, -2, -2, -2, -4]
abatimento	-1.8	0.6	[-2, -1, -2, -3, -2, -1, -2, -2, -2, -1]
abducao	-2.8	0.87178	[-4, -3, -3, -4, -1, -3, -2, -2, -3, -3]
abducoes	-2.0	1.41421	[-3, -4, -1, -3, -1, -3, 1, -2, -1, -3]
abencoa	2.6	0.66332	[1, 3, 3, 3, 3, 3, 2, 3, 2, 3]
abencoadamente	1.7	1.1	[2, 2, 1, -1, 3, 2, 3, 1, 2, 2]
abencoado	2.9	0.3	[2, 3, 3, 3, 3, 3, 3, 3, 3, 3]
abencoe	1.8	0.6	[3, 2, 2, 1, 2, 2, 1, 2, 2, 1]
aberracao	-1.9	0.9434	[-3, -2, -1, -2, -4, -1, -2, -1, -2, -1]
abertura	1.4	0.8	[2, 1, 1, 2, 2, 1, 1, 1, 3, 0]
abomina	-2.9	1.51327	[0, -4, -3, -3, -4, -4, 0, -4, -3, -4]
abominar	-2.0	1.09545	[-3, -3, -1, -1, -2, -1, -3, -3, 0, -3]
abominavel	-3.1	1.3	[-4, -4, -4, -2, 0, -4, -2, -3, -4, -4]
aborrece	-1.0	0.44721	[-1, -1, -1, -1, -1, -1, 0, -1, -1, -2]
aborrecido	-2.4	1.49666	[-4, -4, 0, -3, -2, -1, -4, -3, -3, 0]
aborrecimento	-1.3	1.55242	[-2, -3, -2, -2, -1, 1, -3, -2, 2, -1]
aborrecimentos	-1.8	0.6	[-2, -2, -2, -1, -1, -2, -3, -1, -2, -2]
abracando	1.8	0.74833	[2, 1, 1, 3, 3, 2, 2, 1, 2, 1]
abraco	1.3	1.34536	[3, 2, 1, 3, 2, -1, 2, 1, -1, 1]
abracos	2.2	0.74833	[3, 2, 1, 2, 2, 2, 3, 1, 3, 3]
abracou	1.7	0.78102	[2, 2, 2, 2, 3, 1, 1, 2, 0, 2]
abrilhantadores	1.0	0.89443	[0, 1, 0, 1, 1, 3, 0, 1, 2, 1]
absolutos	1.3	1.00499	[3, 1, 1, 0, 0, 2, 3, 1, 1, 1]
absolve	0.1	1.37477	[1, -3, -1, 0, 2, 0, -1, 1, 1, 1]
absolvendo	1.6	0.8	[3, 1, 2, 1, 1, 2, 3, 1, 1, 1]
absolver	1.2	1.46969	[2, -3, 2, 2, 1, 1, 2, 1, 2, 2]
absolvido	1.5	0.92195	[3, 1, 2, 1, 0, 2, 3, 1, 1, 1]
absorvido	0.6	1.49666	[0, 2, 0, 2, -2, 2, 3, -1, 0, 0]
absurdo	-1.7	0.64031	[-3, -1, -1, -1, -2, -1, -2, -2, -2, -2]
abusado	-2.3	0.64031	[-2, -2, -3, -2, -2, -4, -2, -2, -2, -2]
